Passenger_ID,Date,vehicle_Type,Route,Departure_Time,Passenger_Count,Ticket_Price,Total_revenue,Day,Payment_Method
P101783,7/29/2025,Bus,Kandy - Colombo,19:00,56,410,22960,Tuesday,Mobile Payment
P103918,2/17/2025,Bus,Kandy - Colombo,18:00,83,470,39010,Monday,Cash
P100222,10/4/2025,Train,Colombo - Kurunegala,20:00,138,270,37260,Saturday,Card
P102136,7/8/2025,Train,Colombo - Kalutara,8:00,120,130,15600,Tuesday,Cash
P105225,12/23/2025,Bus,Colombo - Kalutara,19:00,56,190,10640,Tuesday,Cash
P101169,1/16/2025,Bus,Kandy - Colombo,8:30,58,420,24360,Thursday,Cash
P100880,3/25/2025,Bus,Colombo - Galle,18:30,40,430,17200,Tuesday,Card
P100157,2/24/2025,Train,Colombo - Kurunegala,17:00,171,270,46170,Monday,Card
P101658,4/5/2025,Bus,Colombo - Negombo,20:00,45,230,10350,Saturday,Mobile Payment
P100324,6/11/2025,Bus,Colombo - Kandy,14:00,37,490,18130,Wednesday,Cash
P105303,2/13/2025,Train,Kandy - Colombo,17:00,111,310,34410,Thursday,Cash
P102612,8/11/2025,Bus,Colombo - Kurunegala,21:00,66,320,21120,Monday,Card
P100812,1/1/2025,Train,Colombo - Ratnapura,6:30,143,240,34320,Wednesday,Card
P100394,4/20/2025,Train,Kandy - Colombo,18:30,175,350,61250,Sunday,Cash
P103594,4/9/2025,Train,Colombo - Kurunegala,20:00,83,280,23240,Wednesday,Cash
P102639,9/5/2025,Other,Colombo - Galle,20:00,29,450,13050,Friday,Card
P102188,5/19/2025,Train,Colombo - Ratnapura,7:00,193,240,46320,Monday,Card
P105352,8/4/2025,Other,Colombo - Galle,17:30,32,490,15680,Monday,Cash
P100320,11/15/2025,Bus,Colombo - Negombo,13:00,49,270,13230,Saturday,Card
P100168,8/28/2025,Bus,Colombo - Negombo,7:00,82,230,18860,Thursday,Cash
P100747,11/28/2025,Bus,Kurunegala - Dambulla,15:00,37,260,9620,Friday,Cash
P105471,1/13/2025,Train,Galle - Matara,8:00,128,140,17920,Monday,Cash
P103708,10/30/2025,Bus,Colombo - Ratnapura,18:30,51,320,16320,Thursday,Cash
P102765,5/4/2025,Bus,Kandy - Colombo,18:30,55,420,23100,Sunday,Cash
P105113,9/9/2025,Train,Colombo - Galle,16:00,125,290,36250,Tuesday,Cash
P104007,5/23/2025,Bus,Galle - Matara,19:00,53,200,10600,Friday,Cash
P101872,7/9/2025,Bus,Colombo - Negombo,21:00,36,270,9720,Wednesday,Cash
P105757,1/16/2025,Train,Colombo - Galle,20:00,105,300,31500,Thursday,Mobile Payment
P103194,2/8/2025,Bus,Kandy - Nuwara Eliya,17:00,53,320,16960,Saturday,Card
P103755,3/14/2025,Bus,Kandy - Colombo,12:00,37,470,17390,Friday,Card
P105626,8/20/2025,Train,Galle - Matara,10:00,113,160,18080,Wednesday,Cash
P104895,12/5/2025,Bus,Kandy - Colombo,7:00,56,490,27440,Friday,Mobile Payment
P104103,3/27/2025,Bus,Colombo - Galle,19:00,46,380,17480,Thursday,Cash
P101262,1/29/2025,Train,Colombo - Kalutara,7:30,86,130,11180,Wednesday,Cash
P102339,3/3/2025,Bus,Colombo - Negombo,6:30,50,270,13500,Monday,Card
